2026-04-23 16:42:05 | INFO    | finalize | [PASS] shard_count_eq_map[videos_part_17.db] {"shard": 51258, "map": 51258}
2026-04-23 16:42:05 | INFO    | finalize | [PASS] shard_indexes[videos_part_17.db] {"have": [], "want_for": []}
2026-04-23 16:42:06 | INFO    | finalize | [PASS] shard_open[videos_part_18.db] {"rows": 51258, "size_mb": 200.73}
2026-04-23 16:42:06 | INFO    | finalize | [PASS] shard_count_eq_map[videos_part_18.db] {"shard": 51258, "map": 51258}
2026-04-23 16:42:06 | INFO    | finalize | [PASS] shard_indexes[videos_part_18.db] {"have": [], "want_for": []}
2026-04-23 16:42:08 | INFO    | finalize | [PASS] shard_open[videos_part_19.db] {"rows": 51258, "size_mb": 200.75}
2026-04-23 16:42:08 | INFO    | finalize | [PASS] shard_count_eq_map[videos_part_19.db] {"shard": 51258, "map": 51258}
2026-04-23 16:42:08 | INFO    | finalize | [PASS] shard_indexes[videos_part_19.db] {"have": [], "want_for": []}
2026-04-23 16:42:09 | INFO    | finalize | [PASS] shard_open[videos_part_20.db] {"rows": 51258, "size_mb": 200.76}
2026-04-23 16:42:09 | INFO    | finalize | [PASS] shard_count_eq_map[videos_part_20.db] {"shard": 51258, "map": 51258}
2026-04-23 16:42:09 | INFO    | finalize | [PASS] shard_indexes[videos_part_20.db] {"have": [], "want_for": []}
2026-04-23 16:42:10 | INFO    | finalize | [PASS] shard_open[videos_part_21.db] {"rows": 51258, "size_mb": 200.74}
2026-04-23 16:42:10 | INFO    | finalize | [PASS] shard_count_eq_map[videos_part_21.db] {"shard": 51258, "map": 51258}
2026-04-23 16:42:10 | INFO    | finalize | [PASS] shard_indexes[videos_part_21.db] {"have": [], "want_for": []}
2026-04-23 16:42:12 | INFO    | finalize | [PASS] shard_open[videos_part_22.db] {"rows": 51258, "size_mb": 200.72}
2026-04-23 16:42:12 | INFO    | finalize | [PASS] shard_count_eq_map[videos_part_22.db] {"shard": 51258, "map": 51258}
2026-04-23 16:42:12 | INFO    | finalize | [PASS] shard_indexes[videos_part_22.db] {"have": [], "want_for": []}
2026-04-23 16:42:13 | INFO    | finalize | [PASS] shard_open[videos_part_23.db] {"rows": 51258, "size_mb": 200.73}
2026-04-23 16:42:13 | INFO    | finalize | [PASS] shard_count_eq_map[videos_part_23.db] {"shard": 51258, "map": 51258}
2026-04-23 16:42:13 | INFO    | finalize | [PASS] shard_indexes[videos_part_23.db] {"have": [], "want_for": []}
2026-04-23 16:42:15 | INFO    | finalize | [PASS] shard_open[videos_part_24.db] {"rows": 51258, "size_mb": 200.73}
2026-04-23 16:42:15 | INFO    | finalize | [PASS] shard_count_eq_map[videos_part_24.db] {"shard": 51258, "map": 51258}
2026-04-23 16:42:15 | INFO    | finalize | [PASS] shard_indexes[videos_part_24.db] {"have": [], "want_for": []}
2026-04-23 16:42:16 | INFO    | finalize | [PASS] shard_open[videos_part_25.db] {"rows": 51258, "size_mb": 200.72}
2026-04-23 16:42:16 | INFO    | finalize | [PASS] shard_count_eq_map[videos_part_25.db] {"shard": 51258, "map": 51258}
2026-04-23 16:42:16 | INFO    | finalize | [PASS] shard_indexes[videos_part_25.db] {"have": [], "want_for": []}
2026-04-23 16:42:17 | INFO    | finalize | [PASS] shard_open[videos_part_26.db] {"rows": 25708, "size_mb": 100.68}
2026-04-23 16:42:17 | INFO    | finalize | [PASS] shard_count_eq_map[videos_part_26.db] {"shard": 25708, "map": 25708}
2026-04-23 16:42:17 | INFO    | finalize | [PASS] shard_indexes[videos_part_26.db] {"have": [], "want_for": []}
2026-04-23 16:42:17 | INFO    | finalize | [PASS] sum_shards_eq_sqlite {"shards_total": 1307158, "sqlite_rows": 1307158}
2026-04-23 16:42:17 | INFO    | finalize | [PASS] csv_eq_sum_shards {"csv_total": 1307158, "shards_total": 1307158}
2026-04-23 16:42:17 | INFO    | finalize | [PASS] index_eq_source {"index_rows": 1307158, "source_rows": 1307158}
2026-04-23 16:42:17 | INFO    | finalize | [PASS] index_no_null_titles {"null_titles": 0}
