2026-04-23 16:32:53 | INFO    | shard_db | Shard videos_part_19.db -> 200.7 MB
2026-04-23 16:32:53 | INFO    | shard_db | Creating shard /home/runner/workspace/output/db_shards/videos_part_20.db (offset=973902, rows=51258)
2026-04-23 16:33:00 | INFO    | shard_db | Finalizing shard 20 (rows 973903..1025160)
2026-04-23 16:33:00 | INFO    | shard_db | Shard videos_part_20.db -> 200.8 MB
2026-04-23 16:33:00 | INFO    | shard_db | Creating shard /home/runner/workspace/output/db_shards/videos_part_21.db (offset=1025160, rows=51258)
2026-04-23 16:33:08 | INFO    | shard_db | Finalizing shard 21 (rows 1025161..1076418)
2026-04-23 16:33:09 | INFO    | shard_db | Shard videos_part_21.db -> 200.7 MB
2026-04-23 16:33:09 | INFO    | shard_db | Creating shard /home/runner/workspace/output/db_shards/videos_part_22.db (offset=1076418, rows=51258)
2026-04-23 16:33:17 | INFO    | shard_db | Finalizing shard 22 (rows 1076419..1127676)
2026-04-23 16:33:17 | INFO    | shard_db | Shard videos_part_22.db -> 200.7 MB
2026-04-23 16:33:17 | INFO    | shard_db | Creating shard /home/runner/workspace/output/db_shards/videos_part_23.db (offset=1127676, rows=51258)
2026-04-23 16:33:28 | INFO    | shard_db | Finalizing shard 23 (rows 1127677..1178934)
2026-04-23 16:33:28 | INFO    | shard_db | Shard videos_part_23.db -> 200.7 MB
2026-04-23 16:33:28 | INFO    | shard_db | Creating shard /home/runner/workspace/output/db_shards/videos_part_24.db (offset=1178934, rows=51258)
2026-04-23 16:33:40 | INFO    | shard_db | Finalizing shard 24 (rows 1178935..1230192)
2026-04-23 16:33:40 | INFO    | shard_db | Shard videos_part_24.db -> 200.7 MB
2026-04-23 16:33:40 | INFO    | shard_db | Creating shard /home/runner/workspace/output/db_shards/videos_part_25.db (offset=1230192, rows=51258)
2026-04-23 16:33:54 | INFO    | shard_db | Finalizing shard 25 (rows 1230193..1281450)
2026-04-23 16:33:54 | INFO    | shard_db | Shard videos_part_25.db -> 200.7 MB
2026-04-23 16:33:54 | INFO    | shard_db | Creating shard /home/runner/workspace/output/db_shards/videos_part_26.db (offset=1281450, rows=25708)
2026-04-23 16:34:03 | INFO    | shard_db | Finalizing shard 26 (rows 1281451..1307158)
2026-04-23 16:34:03 | INFO    | shard_db | Shard videos_part_26.db -> 100.7 MB
2026-04-23 16:34:03 | INFO    | shard_db | Wrote /home/runner/workspace/output/db_shards/map.json (26 shards, 1307158 rows)
